disease,product_name,product_link,description,image_url
leaf spot,Copper Fungicide Spray,https://amzn.to/3xample1,Organic copper solution,https://i.postimg.cc/XY3qNQx3/download.jpg
powdery mildew,Sulfur Fungicide Dust,https://amzn.to/3xample2,Fungicide for mildew,https://i.postimg.cc/1z73HPS5/images.jpg
root rot,Root Shield Fungicide,https://amzn.to/3xample3,Systemic fungicide,https://i.postimg.cc/4xJNysGD/download.jpg
blight,Serenade Garden,https://amzn.to/3xample4,Biological fungicide,https://i.postimg.cc/1z73HPS5/images.jpg
downy mildew,Actinovate Lawn & Garden,https://amzn.to/3xample5,Biofungicide for soil & foliar,https://i.postimg.cc/wBr9NV51/images.jpg
rust,Daconil Fungicide,https://amzn.to/3xample6,Broad-spectrum foliar fungicide,https://i.postimg.cc/3RpQvHJq/images.jpg
anthracnose,Bonide Fung-onil,https://amzn.to/3xample7,Protective fungicide spray,https://i.postimg.cc/d3jM5mCm/images.jpg
black spot,Bayer Advanced 3-in-1,https://amzn.to/3xample8,Insecticide & fungicide combo,https://i.postimg.cc/ht3kZGXw/images.jpg
verticillium wilt,Mycostop Biofungicide,https://amzn.to/3xample9,Root treatment biofungicide,https://i.postimg.cc/prx45hS9/images.jpg
botrytis,Cease Biological Fungicide,https://amzn.to/3xample10,OMRI-listed foliar spray,https://i.postimg.cc/MHD47Zk9/images.jpg
